application_id,domain,application_date,status
10000,Data Science,02-04-2023,Completed Internship
10001,UI/UX Design,23-06-2021,Applied
10002,Data Science,05-08-2022,Applied
10003,DevOps,11-08-2021,Applied
10004,DevOps,27-08-2022,Applied
10005,Data Science,13-03-2023,Completed Internship
10006,Software Engineering,10-01-2024,Completed Internship
10007,Cybersecurity,28-02-2024,Applied
10008,Cybersecurity,17-05-2021,Applied
10009,Cloud Computing,23-06-2023,Applied
10010,Cloud Computing,08-12-2021,Applied
10011,Cybersecurity,22-01-2024,Applied
10012,DevOps,17-07-2023,Applied
10013,AI/ML Engineering,02-05-2024,Completed Internship
10014,UI/UX Design,05-04-2023,Applied
10015,AI/ML Engineering,19-03-2024,Applied
10016,AI/ML Engineering,01-09-2021,Completed Internship
10017,Cloud Computing,22-06-2021,Completed Internship
10018,Cloud Computing,10-12-2023,Applied
10019,Data Science,01-07-2022,Applied
10020,UI/UX Design,17-11-2023,Completed Internship
10021,Software Engineering,18-04-2021,Applied
10022,DevOps,10-08-2023,Applied
10023,Data Science,16-11-2023,Applied
10024,Software Engineering,07-03-2021,Applied
10025,Cybersecurity,05-04-2023,Completed Internship
10026,Cloud Computing,19-11-2022,Applied
10027,DevOps,18-05-2021,Applied
10028,Software Engineering,12-05-2023,Applied
10029,Cybersecurity,15-08-2022,Applied
10030,Software Engineering,19-05-2024,Applied
10031,AI/ML Engineering,04-09-2023,Applied
10032,AI/ML Engineering,26-04-2024,Applied
10033,Cloud Computing,18-08-2022,Applied
10034,AI/ML Engineering,04-01-2021,Completed Internship
10035,Cloud Computing,19-06-2022,Completed Internship
10036,Data Science,02-01-2022,Applied
10037,AI/ML Engineering,27-04-2024,Applied
10038,Cloud Computing,25-05-2021,Completed Internship
10039,Software Engineering,23-03-2022,Applied
10040,Cloud Computing,24-01-2022,Completed Internship
10041,Cloud Computing,08-06-2021,Applied
10042,Data Science,13-05-2024,Applied
10043,Software Engineering,20-10-2023,Applied
10044,Data Science,16-03-2024,Completed Internship
10045,Cloud Computing,19-07-2022,Completed Internship
10046,Software Engineering,28-03-2023,Completed Internship
10047,Cybersecurity,06-03-2024,Applied
10048,DevOps,26-07-2021,Applied
10049,Software Engineering,04-10-2023,Applied
10050,Cloud Computing,10-02-2024,Applied
